train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_specificity,val_specificity,train_hausdorff,val_hausdorff,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc,lr,train_dice_loss,train_focal_loss,train_tversky_loss,train_boundary_loss
0.08861530443484134,0.06794398224779538,0.9380218224091963,0.9526096263102123,0.8854495400732214,0.9138863001550946,0.9389112683859738,0.95486866576331,0.9410282362591137,0.9652743743998664,0.9376925072886727,0.9452036704335894,0.9986001789569855,0.9991862050124577,5.464055744767281,3.0698733406518817,0.9376942499117418,0.9539987402302879,0.9681463431228291,0.9721949377230236,9.997557473810373e-05,0.12262501987543974,0.001922772167546844,0.1406163508241827,0.1086519330739975
0.07275358783927831,0.0567371186667255,0.9325595059178092,0.9548547310488564,0.881590108979832,0.9122268812997001,0.9364247024059296,0.9539350526673454,0.9469781956889413,0.9688268410308021,0.9276147132570093,0.939812666603497,0.9987640516324476,0.9992730085338865,5.339662716169624,3.2489291057597454,0.9353808961131356,0.9530505282538277,0.9631893824447285,0.9695428375686918,9.990232305719946e-05,0.09996175440874967,0.0024387669548476963,0.10648226683790034,0.10740801211107862
0.06253623725338416,0.05106295764978443,0.936380013552579,0.9564238744122642,0.8883695564486763,0.9154987058469227,0.9405792008746754,0.9556959739753178,0.9499623526226391,0.9628033701862607,0.9324990760196339,0.9489858384643283,0.9988228413191709,0.9991195946931839,4.960472870166656,3.245216673894304,0.9395061872222207,0.9547453139509473,0.9656609586694024,0.974052716578756,9.978031724785248e-05,0.08431682640855963,0.0023153687351044607,0.08669418746774847,0.1077605744654482
0.05786304555156014,0.05158544132219894,0.9379459245638414,0.9502217833484922,0.8893486575646834,0.9057970579181399,0.9411270585927096,0.9500431290694645,0.9498578396710482,0.9556317542280469,0.9332121578129855,0.9448008494717735,0.9988212005658583,0.9989548921585083,4.564511064343102,3.464410437218954,0.9399466395378113,0.9489475403513227,0.9660166791894219,0.9718778708151409,9.960967771506668e-05,0.07729152603582902,0.002400768739806319,0.0775073143568906,0.10724740238352255
0.05901703695681962,0.050182746058063846,0.9304828844287178,0.9484085802521024,0.8787676545706662,0.900082358292171,0.934649506482211,0.9471779933997563,0.9493111469528892,0.9645241775682994,0.9220634823495691,0.930914472256388,0.9988260247490622,0.9991689260516848,5.238095626752219,3.8127233650128787,0.9336547325957906,0.9462167578084129,0.9604447535493157,0.9650416991540364,9.939057285945934e-05,0.08031185431913897,0.0029696767281910236,0.07706260464408181,0.10588870603929866
0.056162648512558505,0.047112775833479,0.9326309350403872,0.9507615353379931,0.883133555542339,0.9066478673900876,0.9374063459309665,0.9509669372013637,0.9472481153228066,0.9613675262246814,0.928755874525417,0.941116846033505,0.9987627424977042,0.9990989842585155,4.960064695381802,3.6720487181685812,0.9362430935556239,0.9499527897153582,0.9637593085115607,0.9701079151460102,9.912321891107012e-05,0.07528693350878629,0.002741818542761559,0.07281783548268404,0.10661761340769854
0.05291203578764742,0.044012626100863726,0.9387192520228299,0.9545270076819828,0.8890564658425071,0.9134140993867602,0.9408084728501059,0.9546852729150227,0.9506246035749262,0.9635134360619954,0.9320240372961218,0.9463514068296978,0.998846438256177,0.9991443497794015,4.445928964796367,3.441054424958854,0.93968398029154,0.9537423551082611,0.9654352377761494,0.9727478783045497,9.880787971596802e-05,0.07009921832518144,0.0026455455110408364,0.06695979996161028,0.10686723813414574
0.04915964972566474,0.04354528617113829,0.9439537617293271,0.9546043532235282,0.8980320925062353,0.9134627005883625,0.9461374635046179,0.9547165632247925,0.9537982480092482,0.9632703385182789,0.9392806773835962,0.9465966522693634,0.998903903094205,0.999138702239309,4.570549953892798,3.2710366258795354,0.9450631147081202,0.9537576735019684,0.9690922902389006,0.9728676772543362,9.844486647586726e-05,0.06383808905428107,0.0023323330858891662,0.06102840196002613,0.10719032822684808
0.05919024168767712,0.046792595115091117,0.9183336008678783,0.9496572975601468,0.8671959178014235,0.9038758128881454,0.927738863771612,0.9493695625237056,0.9446577375585382,0.9541285059281758,0.9130612687631087,0.9453299428735461,0.9987185635349968,0.9988912173679897,5.5939843583761775,4.85950809949967,0.9266373000361703,0.9483477749994823,0.9558899161490527,0.9721105801207679,9.80345374410087e-05,0.08137235153805125,0.003713155870156532,0.07482771873474121,0.10561808997934514
0.051644814827225424,0.04333217761346272,0.9350847536867315,0.9522298574447632,0.8877835273742676,0.909392095037869,0.9400986595587297,0.9524442596094949,0.9510850158604709,0.9702165573835373,0.9304746714505282,0.9356769706521716,0.9988509920510379,0.9993141208376203,4.651373512634872,3.4629981906628013,0.9390423032370481,0.9515922644308635,0.964662831750783,0.9674955457448959,9.757729755661012e-05,0.06838655471801758,0.002813628975259648,0.06384738304398277,0.10676626718857071
